id,modified_comment,Cause Span,Anger,Love,Fear,Joy,Sadness,Surprise,Emotion 2,Emotion 3
82121251,I am not sure what you mean by that,I am not sure what you mean by that,0,0,0,0,0,1,Confusion,
89186541,It seems like you don't use this require anywhere?,seems like you don't use this require anywhere?,0,0,0,0,0,1,Confusion,
90701231,oops 😅 I haven't implemented the tests yet so I hadn't audited yet.,oops 😅,0,0,0,1,0,0,Cheerfulness,Amusement
92501584,"I also agree, but lets keep them for now since we aren't done with setting it up on webpack.js.org yet.",I also agree,0,0,0,1,0,0,Approval,-
94004246,These conditions are weird. A test should have an expected behavior and not two possible.,These conditions are weird.,1,0,0,0,0,0,Disapproval,-
94004395,I simply took what was above in the same file! I do agree they don't really make sense though.,I do agree they don't really make sense,0,0,0,1,0,0,Approval,
94057267,"[USER] my bad! Thanks for the suggestion, I have removed the leftovers from testing.",Thanks for the suggestion,0,1,0,0,0,0,Affection,love
94108066,"No probs, thank you for double checking.","No probs, thank you for double checking.",0,1,0,0,0,0,Affection,love
94288011,I made my first commit at 4AM :-) May be why! Thank you,May be why! Thank you,0,1,0,0,0,0,Affection,Love
94291425,wrapping these lines into block will make linter happy :),wrapping these lines into block will make linter happy :),0,0,0,1,0,0,Cheerfulness,Joy
94314710,Thanks for the feedback. Done,Thanks for the feedback.,0,1,0,0,0,0,Affection,love
94482514,I'll wait on this one before merging. Nice work overall.,Nice work overall.,0,1,0,0,0,0,Affection,love
94504993,"Yeah, that makes sense. I have omitted the output property from the test.",that makes sense.,0,0,0,1,0,0,Approval,-
94506335,"not sure, which space are you guys referring to? or should i add one here?","not sure, which space are you guys referring to?",0,0,0,0,0,1,Confusion,
94530840,"Yeah that looks great, I think that is a good approach.","that looks great, I think that is a good approach.",0,0,0,1,0,0,Cheerfulness,Happiness
95046608,Heh didn't even notice this in the src before that's awesome.,even notice this in the src before that's awesome,0,0,0,1,0,0,Cheerfulness,happiness
95076433,❓ Not sure if this file should have been committed,❓ Not sure if this file should have been committed,0,0,0,0,0,1,Confusion,
95499985,[USER] I thinks it's better to leave it as is (i.e. string concatenation) than this for better readability,better to leave it as is,1,0,0,0,0,0,Disapproval,-
96147085,probably much more readable :D like that.,:D like that,0,1,0,0,0,0,Affection,Liking
97830353,"Done. Strangely, falling tests, when I tried to remove it before","Strangely, falling tests, when I tried to remove it before",0,0,0,0,0,1,Confusion,
101927254,That's not the same as before. Would be a breaking change if you change this.,Would be a breaking change,0,0,1,0,0,0,Nervousness,Worry
101964698,uhh good catch. and yes should have further cleaned up.,uhh good catch,0,0,0,1,0,0,Approval,
102410303,"This is unrelated to your changes. Could you rollback this, please?",.Could you rollback this,1,0,0,0,0,0,Disapproval,-
108326688,My bad. Looks like didn't load the .editorconfig at the time. It's weird. I've reinstall my editor plugin then fixed it.,My bad. Looks like didn't load the .editorconfig,0,0,0,0,1,0,Neglect,
112711969,"You forgot to add the prettier rule to the eslint rules. This does nothing currently.
[URL]",You forgot to add,0,0,0,0,1,0,Neglect,
117588007,on second thought not sure i should have switched n and t. it looks like it might change the behavior of the resulting code. but i'm not sure why the output switched either.,on second thought not sure i should have switched n and t.,0,0,0,0,0,1,Confusion,
122603437,"yeah, I wasn't sure if this approach is ok and if I wanted to shadow as little as possible from the initial set (: happy to add some logic there",(: happy to add,0,0,0,1,0,0,Cheerfulness,Happiness
132652883,That's a great idea. A Tombstone object,That's a great idea,0,1,0,0,0,0,Affection,liking
138079032,Okay thanks. I wasn't sure about that.,I wasn't sure about that.,0,0,0,0,0,1,Confusion,
139083319,"I guess this could be more efficiently processed, but I guess it would break the code generation because of the assumption that the prefix can be replaced with a string literal.
But as nobody writes such code by hand and babel won't generate this code (first argument to concat is always an expression), we can keep it simple.",I guess it would break the code,0,0,1,0,0,0,Nervousness,Worry
139258275,"Oops, that wasn't intentional","Oops, that wasn't intentional",0,0,0,0,1,0,Neglect,Embarrassment
150086821,If this is just github displaying tabs `\t` weirdly forget what I said then 😛,😛,0,0,0,1,0,0,Cheerfulness,Jolliness
152751925,should not be here,should not be here,1,0,0,0,0,0,Disapproval,-
153119784,Not sure if it's a good idea to set this global variable here.,not sure if it's a good idea,1,0,0,0,0,0,Disapproval,-
157323470,I think I like your first suggestion because it allows us to keep the hooks in one place.,like your first suggestion,0,1,0,0,0,0,Affection,liking
157376729,"hmm for some reason i thought it was opposite, updating. Thank you [USER]","it was opposite, updating. Thank you [USER]",0,1,0,0,0,0,Affection,Love
157990120,"Not sure about this. Once `prettier` will land, we won't have to worry anymore",not sure about this,0,0,0,0,0,1,Confusion,
159079807,I had to remove them because of the mocking system. Many tests were failing because of additional hooks.,Many tests were failing because of additional hooks.,0,0,1,0,0,0,Nervousness,worry
159144172,This one was really hard to debug...,This one was really hard to debug...,0,0,1,0,0,0,Nervousness,"distress, uneasiness"
159822327,"Right, I forgot to remove this while investigating the failing test case.",I forgot to remove this,0,0,0,0,1,0,Neglect,-
159985236,Right. This is embarrassing...,This is embarrassing...,0,0,0,0,1,0,Neglect,Embarrassment
161375219,"I didn't see the point in burying this function in the class, so it's outside. I'm not sure if this matches the code styles well.",I'm not sure if this matches the code styles well.,1,0,0,0,0,0,Disapproval,-
161679884,"It's kind of weird to support wrong booleans `""false""`. Remove this.",It's kind of weird to support wrong booleans,0,0,1,0,0,0,Nervousness,Worry
161802761,"neat, thanks for the tip.",thanks for the tip.,0,1,0,0,0,0,Affection,Love
163396586,"Touche. Haha well we should just update them all in one PR, not this one though. 😂",Touche. Haha well we should just update them all in one PR,0,0,0,1,0,0,Cheerfulness,Jolliness
164284889,Nope this is still proof of concept and is a good reminder that I forget console logs. 😬,good reminder that I forget console logs. 😬,0,0,0,0,1,0,Neglect,Embarrassment
164664288,The `sourceUrlComment` is not part of the footer. It doesn't make sense to move it into this module.,not part of the footer. It doesn't make sense,1,0,0,0,0,0,Disapproval,-
166578897,"Guys I just hadn't the time to finalize the local stuff I'm working on for the `postcss-icss-*` side of affairs, this stuff (dependencies) will be moved soon from the PR :D 😛. Happy with every `postcss-value-parser` that is capable of parsing `@import/url()` for the initial `CSSParser` in it's default state. `css-modules` will still be an opt-in either via `postcss-loader` or something like
[TRIPLE QUOTE].",:D 😛Happy with every `postcss-value-parser` that is capable of parsing `@import/url()`,0,0,0,1,0,0,Cheerfulness,Happiness
166580511,"Oh, you didn't add composes and values. Well, I like it even more. Those features are hard to maintain.",I like it even more,0,1,0,0,0,0,Affection,liking
168005195,Then it's fine 👍,Then it's fine 👍,0,0,0,1,0,0,Approval,
170027075,"returning a value doesn't make sense here. It's an async function.
Maybe you want to wrap this in a Promise:",returning a value doesn't make sense here. It's an async function.,1,0,0,0,0,0,Disapproval,-
171155778,Not sure I agree with this particular change. It breaks the grammar of the sentence.,Not sure I agree with this particular change.,1,0,0,0,0,0,Disapproval,-
173051390,You should probably delete this..,probably delete this..,0,0,1,0,0,0,Nervousness,Worry
175305372,Oops my bad,Oops my bad,0,0,0,0,1,0,Neglect,Embarrassment
175672802,"Yeah, will edit that, sorry. :smiley:, wanted to ask question related to mocking.",.will edit that sorry,0,0,0,0,1,0,Neglect,Embarrassment
177721513,It's merged. :tada:,It's merged. :tada:,0,0,0,1,0,0,Cheerfulness,Happiness
178605387,"This is not correct. A Chunk doesn't have this probably.
You probably found this in the HMR code. The template takes a `Chunk | { id, modules, removedModules }`. This is a kind of fake Chunk with this extra info.",This is not correct. A Chunk doesn't have this probably.,1,0,0,0,0,0,Disapproval,-
178605793,"This is incorrect.
Actually the usage of `this.chunks` below is incorrect. It should be `compilation.chunks` instead.
This happend probably while the migration from function to arrow function.
Better do a separate PR here, as we should also add tests for this.",This is incorrect.,1,0,0,0,0,0,Disapproval,-
178769538,I prefer how Tobias wrote it. It is more expressive and easier to understand how it works.,I prefer how Tobias wrote it. It is more expressive and easier to understand how it works.,0,1,0,0,0,0,Affection,Liking
182763900,Why is this happening? A side effect of generating tests dynamically?,Why is this happening?,0,0,1,0,0,0,Nervousness,Worry
184581200,"I agree we can discuss there. If we need to change, I'll go in and remove where needed.",I agree we can discuss there.,0,0,0,1,0,0,Approval,
184582031,"Hmm this was causing some strange assertions, I'll double check here.",causing some strange assertions,0,0,1,0,0,0,Nervousness,worry
184589259,I generally don't like using `Function` but it seems appropriate in this case 😔,don't like using `Function`,0,0,0,0,1,0,Disappointment,-
